subjID,is_control,judgment_index,judgment_shape,judgment_catches_fish,input_judgment,input_judgment_conf
user_1573681812685,False,1,"{'top_shape': 'triangle', 'top_color': 'yellow', 'top_texture': True, 'bottom_shape': 'oval', 'bottom_color': 'blue', 'bottom_texture': False}",0,0,6
user_1573681812685,False,2,"{'top_shape': 'diamond', 'top_color': 'red', 'top_texture': False, 'bottom_shape': 'diamond', 'bottom_color': 'green', 'bottom_texture': False}",1,1,5
user_1573681812685,False,3,"{'top_shape': 'oval', 'top_color': 'green', 'top_texture': True, 'bottom_shape': 'triangle', 'bottom_color': 'yellow', 'bottom_texture': False}",1,1,6
user_1573681812685,False,4,"{'top_shape': 'triangle', 'top_color': 'red', 'top_texture': False, 'bottom_shape': 'teardrop', 'bottom_color': 'green', 'bottom_texture': True}",0,0,6
user_1573681812685,False,5,"{'top_shape': 'circle', 'top_color': 'blue', 'top_texture': False, 'bottom_shape': 'star', 'bottom_color': 'red', 'bottom_texture': False}",1,1,6
user_1573681812685,False,6,"{'top_shape': 'star', 'top_color': 'green', 'top_texture': True, 'bottom_shape': 'oval', 'bottom_color': 'blue', 'bottom_texture': True}",0,0,7
user_1573681812685,False,7,"{'top_shape': 'oval', 'top_color': 'yellow', 'top_texture': False, 'bottom_shape': 'circle', 'bottom_color': 'red', 'bottom_texture': True}",0,0,7
user_1573681812685,False,8,"{'top_shape': 'teardrop', 'top_color': 'blue', 'top_texture': False, 'bottom_shape': 'star', 'bottom_color': 'yellow', 'bottom_texture': False}",1,1,6
user_1573678265178,False,1,"{'top_shape': 'triangle', 'top_color': 'yellow', 'top_texture': True, 'bottom_shape': 'oval', 'bottom_color': 'blue', 'bottom_texture': False}",0,0,4
user_1573678265178,False,2,"{'top_shape': 'diamond', 'top_color': 'red', 'top_texture': False, 'bottom_shape': 'diamond', 'bottom_color': 'green', 'bottom_texture': False}",1,1,4
user_1573678265178,False,3,"{'top_shape': 'oval', 'top_color': 'green', 'top_texture': True, 'bottom_shape': 'triangle', 'bottom_color': 'yellow', 'bottom_texture': False}",1,1,4
user_1573678265178,False,4,"{'top_shape': 'triangle', 'top_color': 'red', 'top_texture': False, 'bottom_shape': 'teardrop', 'bottom_color': 'green', 'bottom_texture': True}",0,0,4
